,Unnamed: 0,OBJECTNUMMER,Soortnaam_NL,Boomnummer,Soortnaam_WTS,Boomtype,Boomhoogte,Plantjaar,Eigenaar,Beheerder,Categorie,SOORT_KORT,SDVIEW,RADIUS,WKT_LNG_LAT,WKT_LAT_LNG,LNG,LAT,Unnamed: 17,Gemeente height,Predicted height,Predicted crown,Cobra height,Cobra crown,Species,BGT_class,Colors
0,1056,1057,Valse acacia,1532047,Robinia pseudoacacia,Boom niet vrij uitgroeiend,tot 6 m.,2016,Gemeente Amsterdam,Stadsdeel Oost,Robinia,Robinia,M,1,POINT(4.997543 52.355423),POINT(52.355423 4.997543),4.997543,52.355423,,,0.0,0.0,,,0.0,light_load,b
1,1061,1062,Oosterse plataan (cultuurvariëteit),1531643,Platanus orientalis cuneata,Boom niet vrij uitgroeiend,tot 6 m.,2016,Gemeente Amsterdam,Stadsdeel Oost,Platanus,Platanus,M,1,POINT(5.006293 52.353748),POINT(52.353748 5.006293),5.006293,52.353748,,,0.0,0.0,,,0.0,light_load,b
2,1064,1065,Valse acacia,1531640,Robinia pseudoacacia,Boom niet vrij uitgroeiend,tot 6 m.,2016,Gemeente Amsterdam,Stadsdeel Oost,Robinia,Robinia,M,1,POINT(4.990331 52.359626),POINT(52.359626 4.990331),4.990331,52.359626,,,0.0,0.0,,,0.0,light_load,b
3,1068,1069,Iep (cultuurvariëteit),1531636,Ulmus `Homestead`,Boom niet vrij uitgroeiend,tot 6 m.,2016,Gemeente Amsterdam,Stadsdeel Oost,Ulmus,Ulmus,M,1,POINT(4.996561 52.357162),POINT(52.357162 4.996561),4.996561,52.357162,,6.0,5.622638790072927,3.0142122364503643,6.90941724690589,4.60082682039023,0.0,light_load,b
4,1081,1082,Zilverlinde,1266121,Tilia tomentosa,Boom niet vrij uitgroeiend,tot 6 m.,2016,Gemeente Amsterdam,Stadsdeel Oost,Tilia,Tilia,M,1,POINT(4.998916 52.357936),POINT(52.357936 4.998916),4.998916,52.357936,,6.0,4.178971298447625,1.9014496469768,,,0.0,open_ground,y
5,1082,1083,Hollandse linde,1266120,Tilia europaea,Boom niet vrij uitgroeiend,tot 6 m.,2016,Gemeente Amsterdam,Stadsdeel Oost,Tilia,Tilia,M,1,POINT(4.998834 52.357878),POINT(52.357878 4.998834),4.998834,52.357878,,6.0,4.178971298447625,1.9014496469768,,,0.0,open_ground,y
6,1083,1084,Hollandse linde,1266119,Tilia europaea,Boom niet vrij uitgroeiend,tot 6 m.,2016,Gemeente Amsterdam,Stadsdeel Oost,Tilia,Tilia,M,1,POINT(4.998752 52.35782),POINT(52.35782 4.998752),4.998752,52.35782,,6.0,4.178971298447625,1.9014496469768,,,0.0,open_ground,y
7,1084,1085,Hollandse linde,1266118,Tilia europaea,Boom niet vrij uitgroeiend,tot 6 m.,2016,Gemeente Amsterdam,Stadsdeel Oost,Tilia,Tilia,M,1,POINT(4.998669 52.357763),POINT(52.357763 4.998669),4.998669,52.357763,,6.0,4.178971298447625,1.9014496469768,,,0.0,open_ground,y
8,1085,1086,Hollandse linde,1266117,Tilia europaea,Boom niet vrij uitgroeiend,tot 6 m.,2016,Gemeente Amsterdam,Stadsdeel Oost,Tilia,Tilia,M,1,POINT(4.998592 52.357708),POINT(52.357708 4.998592),4.998592,52.357708,,6.0,4.178971298447625,1.9014496469768,,,0.0,open_ground,y
9,1123,1124,Gewone plataan,1536650,Platanus hispanica,Boom niet vrij uitgroeiend,tot 6 m.,2017,Gemeente Amsterdam,Stadsdeel Oost,Platanus,Platanus,M,1,POINT(5.005566 52.351587),POINT(52.351587 5.005566),5.005566,52.351587,,,0.0,0.0,,,0.0,light_load,b
